q1,q2,cost,valid_flag,projection_error,dist_proj_to_goal_proj,stage2_pos_error,stage2_pose_error,o4_proj_x,o4_proj_y,o4_proj_z
-1.355250,-0.696000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.652500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.609000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.565500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.522000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.478500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.435000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.391500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.348000,2.512766,1,0.348518,0.348518,0.377690,0.213887,0.383636,0.001150,0.111413
-1.355250,-0.304500,2.343839,1,0.343329,0.343329,0.369906,0.198677,0.384525,0.001150,0.119411
-1.355250,-0.261000,2.191014,1,0.337984,0.337984,0.362002,0.184256,0.385065,0.001150,0.127440
-1.355250,-0.217500,2.054407,1,0.332485,0.332485,0.353985,0.170634,0.385256,0.001150,0.135484
-1.355250,-0.174000,1.934135,1,0.326834,0.326834,0.345862,0.157822,0.385097,0.001150,0.143529
-1.355250,-0.130500,1.830310,1,0.321036,0.321036,0.337643,0.145832,0.384588,0.001150,0.151560
-1.355250,-0.087000,1.743047,1,0.315092,0.315092,0.329336,0.134672,0.383730,0.001150,0.159561
-1.355250,-0.043500,1.672458,1,0.309007,0.309007,0.320951,0.124355,0.382525,0.001150,0.167517
-1.355250,0.000000,1.613078,1,0.302783,0.302783,0.312497,0.114890,0.380975,0.001150,0.175414
-1.355250,0.043500,1.555152,1,0.296423,0.296423,0.303986,0.106287,0.379084,0.001150,0.183235
-1.355250,0.087000,1.498601,1,0.289933,0.289933,0.295429,0.098557,0.376854,0.001150,0.190967
-1.355250,0.130500,1.443529,1,0.283314,0.283314,0.286840,0.091709,0.374290,0.001150,0.198594
-1.355250,0.174000,1.390036,1,0.276572,0.276572,0.278232,0.085752,0.371396,0.001150,0.206103
-1.355250,0.217500,1.338223,1,0.269709,0.269709,0.269621,0.080697,0.368179,0.001150,0.213479
-1.355250,0.261000,1.288185,1,0.262730,0.262730,0.261024,0.076551,0.364644,0.001150,0.220708
-1.355250,0.304500,1.240017,1,0.255639,0.255639,0.252458,0.073323,0.360799,0.001151,0.227776
